&{Gid:61691 Gname:M4A4 | 合纵 (略有磨损) CnyPrice:427.77}
&{Gid:52885 Gname:蝴蝶刀（★） | 北方森林 (破损不堪) CnyPrice:3320.00}
&{Gid:52184 Gname:穿肠刀（★） | 传说 (崭新出厂) CnyPrice:1533.00}
&{Gid:53354 Gname:AK-47（StatTrak™） | 墨岩 (战痕累累) CnyPrice:52.00}
&{Gid:43695 Gname:M9 刺刀（★） | 澄澈之水 (崭新出厂) CnyPrice:3780.00}
&{Gid:48855 Gname:系绳匕首（★） | 都市伪装 (略有磨损) CnyPrice:720.00}
&{Gid:14621 Gname:驾驶手套（★） | 墨绿色调 (战痕累累) CnyPrice:270.00}
&{Gid:44373 Gname:折叠刀（★） | 屠夫 (略有磨损) CnyPrice:2025.00}
&{Gid:61684 Gname:M4A1 消音型 | 气泡流行 (崭新出厂) CnyPrice:10.99}
&{Gid:44384 Gname:沙漠之鹰 | 噩梦之夜 (略有磨损) CnyPrice:33.66}
&{Gid:44443 Gname:USP 消音版 | 引擎故障灯 (崭新出厂) CnyPrice:12.00}
&{Gid:50494 Gname:SCAR-20 | 深红之网 (略有磨损) CnyPrice:15.50}
&{Gid:52207 Gname:P250 | 孟加拉猛虎 (崭新出厂) CnyPrice:95.00}
&{Gid:2719 Gname:法玛斯 | 元素轮廓 (略有磨损) CnyPrice:15.50}
&{Gid:51169 Gname:锯齿爪刀（★ StatTrak™） | 虎牙 (崭新出厂) CnyPrice:3800.00}
&{Gid:54576 Gname:摩托手套（★） | 玳瑁 (破损不堪) CnyPrice:914.00}
&{Gid:52489 Gname:爪子刀（★） | 人工染色 (久经沙场) CnyPrice:3480.00}
&{Gid:50122 Gname:AK-47 | 美洲猛虎 (破损不堪) CnyPrice:130.00}
&{Gid:52135 Gname:裹手（★） | 警告！ (破损不堪) CnyPrice:1405.00}
&{Gid:44682 Gname:M4A4（StatTrak™） | 喧嚣杀戮 (略有磨损) CnyPrice:230.00}
&{Gid:51972 Gname:刺刀（★ StatTrak™） | 澄澈之水 (略有磨损) CnyPrice:1900.00}
&{Gid:100506 Gname:AUG（纪念品） | 璞玉 (略有磨损) CnyPrice:16.00}
&{Gid:48388 Gname:印花 | Freeman（闪亮）| 2019年卡托维兹锦标赛 CnyPrice:40.80}
&{Gid:50528 Gname:裹手（★） | 恶土 (略有磨损) CnyPrice:1309.00}
&{Gid:56171 Gname:爪子刀（★） | 澄澈之水 (战痕累累) CnyPrice:3333.00}
&{Gid:48176 Gname:熊刀（★） | 森林 DDPAT (略有磨损) CnyPrice:737.00}
&{Gid:102347 Gname:双持贝瑞塔 | 食人花 (略有磨损) CnyPrice:11.40}
&{Gid:5270 Gname:M4A1 消音型 | 暴怒野兽 (略有磨损) CnyPrice:212.00}
&{Gid:62072 Gname:弯刀（★） | 自由之手 (崭新出厂) CnyPrice:888.88}
&{Gid:49618 Gname:驾驶手套（★） | 墨绿色调 (略有磨损) CnyPrice:400.00}
&{Gid:45364 Gname:MAG-7 | 威吓者 (略有磨损) CnyPrice:80.00}
&{Gid:2400 Gname:格洛克 18 型 | 核子花园 (略有磨损) CnyPrice:38.98}
&{Gid:44498 Gname:M4A1 消音型（StatTrak™） | 二号玩家 (久经沙场) CnyPrice:239.99}
&{Gid:43918 Gname:海豹短刀（★） | 深红之网 (久经沙场) CnyPrice:1630.00}
&{Gid:52949 Gname:驾驶手套（★） | 蓝紫格子 (战痕累累) CnyPrice:1299.00}
&{Gid:50700 Gname:印花 | ropz | 2018年伦敦锦标赛 CnyPrice:10.20}
&{Gid:52003 Gname:AK-47 | 前线迷雾 (战痕累累) CnyPrice:55.00}
&{Gid:184 Gname:M4A4 | 齿仙 (久经沙场) CnyPrice:23.00}
&{Gid:61552 Gname:格洛克 18 型 | 零食派对 (略有磨损) CnyPrice:36.00}
&{Gid:12707 Gname:AK-47（StatTrak™） | 幻影破坏者 (久经沙场) CnyPrice:73.00}
&{Gid:102407 Gname:AWP（StatTrak™） | 迷人眼 (略有磨损) CnyPrice:448.90}
&{Gid:59593 Gname:CZ75（StatTrak™） | 深红之网 (崭新出厂) CnyPrice:354.80}
&{Gid:48782 Gname:P250 | 死亡轮回 (久经沙场) CnyPrice:22.70}
&{Gid:47470 Gname:AK-47（StatTrak™） | 荒野反叛 (久经沙场) CnyPrice:420.00}
&{Gid:43976 Gname:AUG | 极地孤狼 (崭新出厂) CnyPrice:34.90}
&{Gid:44776 Gname:USP 消音版（StatTrak™） | 不锈钢 (略有磨损) CnyPrice:149.00}
&{Gid:102142 Gname:印花 | ZywOo（金色） | 2022年安特卫普锦标赛 CnyPrice:197.00}
&{Gid:60283 Gname:猎杀者匕首（★） | 外表生锈 (破损不堪) CnyPrice:588.88}
&{Gid:58157 Gname:猎杀者匕首（★） | 北方森林 (略有磨损) CnyPrice:700.00}
&{Gid:54170 Gname:锯齿爪刀（★） | 表面淬火 (崭新出厂) CnyPrice:4699.00}
&{Gid:7548 Gname:残酷的达里尔爵士（聒噪）| 专业人士 CnyPrice:117.50}
&{Gid:54421 Gname:M4A1 消音型（StatTrak™） | 守护者 (略有磨损) CnyPrice:313.00}
&{Gid:51041 Gname:FN57 | 耍猴把戏 (略有磨损) CnyPrice:60.00}
&{Gid:1482 Gname:USP 消音版（StatTrak™） | 力矩 (久经沙场) CnyPrice:13.89}
&{Gid:45894 Gname:海豹短刀（★） | 都市伪装 (久经沙场) CnyPrice:690.00}
&{Gid:52375 Gname:FN57 | 暴怒野兽 (略有磨损) CnyPrice:178.00}
&{Gid:50014 Gname:熊刀（★） | 大马士革钢 (崭新出厂) CnyPrice:995.00}
&{Gid:53914 Gname:猎杀者匕首（★） | 深红之网 (久经沙场) CnyPrice:977.00}
&{Gid:45505 Gname:M4A4（StatTrak™） | 黑色魅影 (略有磨损) CnyPrice:210.00}
&{Gid:49320 Gname:系绳匕首（★） | 夜色 (久经沙场) CnyPrice:680.00}
&{Gid:50000 Gname:弯刀（★） | 枯焦之色 (久经沙场) CnyPrice:530.00}
&{Gid:45210 Gname:M9 刺刀（★） | 澄澈之水 (战痕累累) CnyPrice:2480.00}
&{Gid:51240 Gname:卡托维兹 2019 荒漠迷城纪念包 CnyPrice:89.00}
&{Gid:52640 Gname:M4A1 消音型（StatTrak™） | 印花集 (崭新出厂) CnyPrice:3966.00}
&{Gid:2267 Gname:Tec-9（StatTrak™） | 燃料喷射器 (略有磨损) CnyPrice:69.00}
&{Gid:54567 Gname:印花 | Team EnVyUs（全息）| 2018年波士顿锦标赛 CnyPrice:49.00}
&{Gid:45455 Gname:M4A4（StatTrak™） | 赛博 (略有磨损) CnyPrice:230.00}
&{Gid:61877 Gname:P250 | 潜藏者 (久经沙场) CnyPrice:30.00}
&{Gid:59915 Gname:弯刀（★） | 多普勒 (略有磨损) CnyPrice:1500.00}
&{Gid:44965 Gname:折刀（★ StatTrak™） | 夜色 (久经沙场) CnyPrice:600.00}
&{Gid:51297 Gname:格洛克 18 型 | 蓝色裂纹 (崭新出厂) CnyPrice:65.00}
&{Gid:102405 Gname:双持贝瑞塔 | 食人花 (崭新出厂) CnyPrice:17.90}
&{Gid:52749 Gname:蝴蝶刀（★） | 森林 DDPAT (破损不堪) CnyPrice:3270.00}
&{Gid:43765 Gname:AK-47（StatTrak™） | 阿努比斯军团 (久经沙场) CnyPrice:138.50}
&{Gid:44400 Gname:P250（StatTrak™） | 生化短吻鳄 (略有磨损) CnyPrice:101.00}
&{Gid:44084 Gname:M4A4 | 二西莫夫 (战痕累累) CnyPrice:285.00}
&{Gid:52601 Gname:求生匕首（★） | 表面淬火 (略有磨损) CnyPrice:1035.00}
&{Gid:50077 Gname:PP-野牛 | 古董枪 (久经沙场) CnyPrice:41.00}
&{Gid:43608 Gname:USP 消音版（StatTrak™） | 力矩 (崭新出厂) CnyPrice:27.00}
&{Gid:56287 Gname:求生匕首（★） | 枯焦之色 (略有磨损) CnyPrice:609.99}
&{Gid:49792 Gname:骷髅匕首（★） | 表面淬火 (略有磨损) CnyPrice:3998.00}
&{Gid:49963 Gname:沙漠之鹰 | 黄金锦鲤 (略有磨损) CnyPrice:225.00}
&{Gid:54467 Gname:短剑（★ StatTrak™） | 枯焦之色 (战痕累累) CnyPrice:930.00}
&{Gid:45624 Gname:内格夫（纪念品） | 核子废渣 (崭新出厂) CnyPrice:20.00}
&{Gid:100891 Gname:印花 | fer | 2015年卢日-纳波卡锦标赛 CnyPrice:38.00}
&{Gid:101038 Gname:音乐盒（StatTrak™） | bbno$ - 你急了！ CnyPrice:40.00}
&{Gid:54812 Gname:XM1014（StatTrak™） | 要抱抱 (崭新出厂) CnyPrice:120.00}
&{Gid:45171 Gname:穿肠刀（★） | 渐变大理石 (崭新出厂) CnyPrice:809.00}
&{Gid:4378 Gname:AUG | 席德.米德 (崭新出厂) CnyPrice:40.00}
&{Gid:279 Gname:M4A4 | 杀意大名 (略有磨损) CnyPrice:17.37}
&{Gid:52362 Gname:爪子刀（★） | 表面淬火 (战痕累累) CnyPrice:3625.00}
&{Gid:2410 Gname:P250（StatTrak™） | 二西莫夫 (久经沙场) CnyPrice:63.00}
&{Gid:53182 Gname:M4A4（StatTrak™） | 战场之星 (略有磨损) CnyPrice:133.00}
&{Gid:51327 Gname:专业手套（★） | 老虎精英 (破损不堪) CnyPrice:2785.00}
&{Gid:5288 Gname:M4A4 | 狮鹫 (略有磨损) CnyPrice:15.90}
&{Gid:2592 Gname:新星 | 古董枪 (崭新出厂) CnyPrice:66.49}
&{Gid:43519 Gname:法玛斯 | 雅典娜之眼 (崭新出厂) CnyPrice:58.50}
&{Gid:101569 Gname:双持贝瑞塔（StatTrak™） | 瓜瓜 (战痕累累) CnyPrice:17.00}
&{Gid:61940 Gname:暗影双匕（★） | 澄澈之水 (久经沙场) CnyPrice:469.50}
&{Gid:49127 Gname:折叠刀（★） | 蓝钢 (破损不堪) CnyPrice:950.00}
&{Gid:52577 Gname:流浪者匕首（★） | 蓝钢 (略有磨损) CnyPrice:2000.00}
&{Gid:53664 Gname:短剑（★） | 森林 DDPAT (略有磨损) CnyPrice:1010.00}
&{Gid:2395 Gname:P2000 | 火灵 (略有磨损) CnyPrice:85.00}
&{Gid:4659 Gname:驾驶手套（★） | 墨绿色调 (久经沙场) CnyPrice:274.00}
&{Gid:56062 Gname:短剑（★） | 大马士革钢 (破损不堪) CnyPrice:1390.00}
&{Gid:43731 Gname:M4A1 消音型（StatTrak™） | 翼蜥 (略有磨损) CnyPrice:85.00}
&{Gid:45873 Gname:AUG（StatTrak™） | 三角战术 (崭新出厂) CnyPrice:30.00}
&{Gid:52033 Gname:暗影双匕（★） | 深红之网 (久经沙场) CnyPrice:620.00}
&{Gid:46367 Gname:格洛克 18 型（StatTrak™） | 水灵 (略有磨损) CnyPrice:134.00}
&{Gid:61936 Gname:暗影双匕（★） | 传说 (略有磨损) CnyPrice:850.00}
&{Gid:36720 Gname:蝴蝶刀（★） | 人工染色 (略有磨损) CnyPrice:4155.00}
&{Gid:47370 Gname:1 号社区印花胶囊 CnyPrice:25.00}
&{Gid:46702 Gname:截短霰弹枪（StatTrak™） | 吞噬 (久经沙场) CnyPrice:40.00}
&{Gid:47128 Gname:反恐精英武器箱 CnyPrice:389.00}
&{Gid:53794 Gname:加利尔 AR | 迷人眼 (崭新出厂) CnyPrice:53.00}
&{Gid:852 Gname:音乐盒（StatTrak™） | AWOLNATION - 就是我 CnyPrice:45.00}
&{Gid:46110 Gname:FN57 | 耍猴把戏 (破损不堪) CnyPrice:16.50}
&{Gid:45000 Gname:M4A4（StatTrak™） | 龙王 (崭新出厂) CnyPrice:314.00}
&{Gid:54582 Gname:狂牙手套（★） | 黄色斑纹 (略有磨损) CnyPrice:983.00}
&{Gid:50476 Gname:M4A1 消音型 | 暴怒野兽 (崭新出厂) CnyPrice:559.00}
&{Gid:3274 Gname:裹手（★） | 屠夫 (久经沙场) CnyPrice:1392.00}
&{Gid:61494 Gname:MP9（StatTrak™） | 富士山 (久经沙场) CnyPrice:13.43}
&{Gid:46475 Gname:猎杀者武器箱 CnyPrice:38.80}
&{Gid:2125 Gname:AUG | 湖怪鸟 (久经沙场) CnyPrice:10.40}
&{Gid:102210 Gname:印花 | degster（金色） | 2022年安特卫普锦标赛 CnyPrice:51.00}
&{Gid:57308 Gname:暗影双匕（★ StatTrak™） | 致命紫罗兰 (久经沙场) CnyPrice:650.00}
&{Gid:48498 Gname:骷髅匕首（★） | 表面淬火 (久经沙场) CnyPrice:3295.95}
&{Gid:2845 Gname:M4A4 | X 射线 (略有磨损) CnyPrice:68.00}
&{Gid:61497 Gname:MP9（StatTrak™） | 富士山 (略有磨损) CnyPrice:35.00}
&{Gid:102161 Gname:印花 | max（全息） | 2022年安特卫普锦标赛 CnyPrice:39.99}
&{Gid:61749 Gname:AK-47 | 绿色层压板 (崭新出厂) CnyPrice:64.00}
&{Gid:53469 Gname:MP9 | 爆裂食物链 (久经沙场) CnyPrice:12.20}
&{Gid:53522 Gname:XM1014 | 要抱抱 (久经沙场) CnyPrice:11.63}
&{Gid:52029 Gname:爪子刀（★） | 北方森林 (战痕累累) CnyPrice:2490.00}
&{Gid:44429 Gname:法玛斯 | 灯神 (破损不堪) CnyPrice:15.50}
&{Gid:45095 Gname:SSG 08（StatTrak™） | 黑水 (略有磨损) CnyPrice:19.00}
&{Gid:56013 Gname:AWP | 浮生如梦 (破损不堪) CnyPrice:43.50}
&{Gid:5237 Gname:AWP | 暴怒野兽 (战痕累累) CnyPrice:117.90}
&{Gid:48372 Gname:凤凰胸章 CnyPrice:31.50}
&{Gid:61407 Gname:AK-47（StatTrak™） | 抽象派 1337 (崭新出厂) CnyPrice:700.00}
&{Gid:62113 Gname:鲍伊猎刀（★） | 黑色层压板 (略有磨损) CnyPrice:710.00}
&{Gid:47055 Gname:爪子刀（★） | 蓝钢 (略有磨损) CnyPrice:4065.00}
&{Gid:46039 Gname:USP 消音版（StatTrak™） | 小绿怪 (略有磨损) CnyPrice:210.00}
&{Gid:44264 Gname:AWP | 锦虎 (久经沙场) CnyPrice:638.00}
&{Gid:1629 Gname:USP 消音版（StatTrak™） | 脑洞大开 (略有磨损) CnyPrice:50.50}
&{Gid:46111 Gname:运动手套（★） | 青铜形态 (战痕累累) CnyPrice:779.50}
&{Gid:50885 Gname:FN57（纪念品） | 橘皮涂装 (略有磨损) CnyPrice:34.02}
&{Gid:102790 Gname:印花 | IHC Esports（金色）| 2022年里约热内卢锦标赛 CnyPrice:33.90}
&{Gid:52164 Gname:熊刀（★ StatTrak™） CnyPrice:1413.00}
&{Gid:53027 Gname:M4A1 消音型 | 冒险家乐园 (战痕累累) CnyPrice:3250.00}
&{Gid:53096 Gname:AWP | 鬼退治 (破损不堪) CnyPrice:1180.00}
&{Gid:48531 Gname:MP5-SD（纪念品） | 越野 (崭新出厂) CnyPrice:14.99}
&{Gid:45673 Gname:P250（StatTrak™） | 影魔 (略有磨损) CnyPrice:12.99}
&{Gid:44053 Gname:MAC-10（StatTrak™） | 渐变迪斯科 (久经沙场) CnyPrice:40.00}
&{Gid:54022 Gname:锯齿爪刀（★） | 屠夫 (久经沙场) CnyPrice:3070.00}
&{Gid:102513 Gname:印花 | GOTV（透镜） CnyPrice:49.50}
&{Gid:49699 Gname:狂牙手套（★） | 黄色斑纹 (久经沙场) CnyPrice:538.00}
&{Gid:46350 Gname:M4A4 | 暗之绽放 (略有磨损) CnyPrice:73.00}
&{Gid:2565 Gname:骷髅匕首（★ StatTrak™） | 夜色 (久经沙场) CnyPrice:2250.00}
&{Gid:101183 Gname:印花 | NiKo （全息） | 2021年斯德哥尔摩锦标赛 CnyPrice:40.00}
&{Gid:62099 Gname:鲍伊猎刀（★） | 澄澈之水 (崭新出厂) CnyPrice:780.00}
&{Gid:55268 Gname:系绳匕首（★） | 蓝钢 (破损不堪) CnyPrice:769.99}
&{Gid:2252 Gname:USP 消音版 | 次时代 (略有磨损) CnyPrice:13.90}
&{Gid:45616 Gname:UMP-45 | 野蛮剑齿虎 (崭新出厂) CnyPrice:42.10}
&{Gid:61632 Gname:SG 553 | 沙漠之花 (崭新出厂) CnyPrice:35.00}
&{Gid:101016 Gname:军医少尉 | 法国宪兵特勤队 CnyPrice:13.40}
&{Gid:57039 Gname:短剑（★ StatTrak™） | 渐变大理石 (崭新出厂) CnyPrice:2950.00}
&{Gid:101661 Gname:印花 | FaZe Clan（全息）| 2022年安特卫普锦标赛 CnyPrice:18.50}
&{Gid:45361 Gname:M4A4 | 死寂空间 (战痕累累) CnyPrice:25.89}
&{Gid:905 Gname:格洛克 18 型 | 荒野反叛 (久经沙场) CnyPrice:26.50}
&{Gid:44506 Gname:专业手套（★） | 大腕 (破损不堪) CnyPrice:1197.00}
&{Gid:61514 Gname:SSG 08（StatTrak™） | 速度激情 (久经沙场) CnyPrice:50.00}
&{Gid:48341 Gname:摩托手套（★） | 交运 (战痕累累) CnyPrice:390.00}
&{Gid:1164 Gname:M4A4（StatTrak™） | 杀意大名 (崭新出厂) CnyPrice:93.90}
&{Gid:2110 Gname:MAC-10 | 核子花园 (略有磨损) CnyPrice:40.00}
&{Gid:61470 Gname:MAG-7 | 铋晶体 (崭新出厂) CnyPrice:14.50}
&{Gid:50326 Gname:短剑（★） | 蓝钢 (久经沙场) CnyPrice:1488.00}
&{Gid:45231 Gname:刺刀（★） | 都市伪装 (久经沙场) CnyPrice:1221.00}
&{Gid:52163 Gname:新星（StatTrak™） | 暴怒野兽 (略有磨损) CnyPrice:205.00}
&{Gid:52582 Gname:暗影双匕（★） | 深红之网 (略有磨损) CnyPrice:828.00}
&{Gid:100630 Gname:MAC-10（纪念品） | 表面淬火 (破损不堪) CnyPrice:34.00}
&{Gid:44088 Gname:摩托手套（★） | 薄荷 (战痕累累) CnyPrice:1699.48}
&{Gid:51138 Gname:SSG 08 | 裂痕 (战痕累累) CnyPrice:13.00}
&{Gid:1762 Gname:格洛克 18 型 | 摩登时代 (破损不堪) CnyPrice:24.00}
&{Gid:47149 Gname:M4A4 | X 射线 (久经沙场) CnyPrice:65.00}
&{Gid:44201 Gname:AK-47 | 阿努比斯军团 (战痕累累) CnyPrice:51.55}
&{Gid:102966 Gname:印花 | nexa（全息）| 2022年里约热内卢锦标赛 CnyPrice:17.00}
&{Gid:51612 Gname:M4A4（StatTrak™） | X 射线 (略有磨损) CnyPrice:210.00}
&{Gid:51929 Gname:猎杀者匕首（★） | 致命紫罗兰 (战痕累累) CnyPrice:610.00}
&{Gid:49697 Gname:AK-47（StatTrak™） | 燃料喷射器 (略有磨损) CnyPrice:2099.89}
&{Gid:49801 Gname:AK-47 | 美洲豹 (略有磨损) CnyPrice:1262.00}
&{Gid:43693 Gname:光谱 2 号武器箱钥匙 CnyPrice:69.98}
&{Gid:55088 Gname:折叠刀（★） | 致命紫罗兰 (略有磨损) CnyPrice:1498.00}
&{Gid:44079 Gname:M4A4（StatTrak™） | 皇帝 (久经沙场) CnyPrice:206.50}
&{Gid:2617 Gname:G3SG1 | 行刑者 (久经沙场) CnyPrice:10.99}
&{Gid:45169 Gname:P90（StatTrak™） | 冷血无情 (崭新出厂) CnyPrice:18.37}
&{Gid:53357 Gname:AWP（StatTrak™） | 野火 (崭新出厂) CnyPrice:1480.00}
&{Gid:5580 Gname:P2000 | 酸蚀 (崭新出厂) CnyPrice:14.79}
&{Gid:9853 Gname:AWP（StatTrak™） | 死神 (略有磨损) CnyPrice:38.50}
&{Gid:44876 Gname:AWP（纪念品） | 冥界之河 (久经沙场) CnyPrice:48.00}
&{Gid:45606 Gname:P2000 | 火灵 (崭新出厂) CnyPrice:148.00}
&{Gid:54545 Gname:加利尔 AR（StatTrak™） | 迷人眼 (崭新出厂) CnyPrice:147.00}
&{Gid:61444 Gname:M4A4（StatTrak™） | 彼岸花 (崭新出厂) CnyPrice:208.00}
&{Gid:54863 Gname:刺刀（★） | 深红之网 (略有磨损) CnyPrice:2910.00}
&{Gid:4423 Gname:弯刀（★） | 致命紫罗兰 (久经沙场) CnyPrice:640.00}
&{Gid:4362 Gname:双持贝瑞塔 | 双涡轮 (崭新出厂) CnyPrice:70.00}
&{Gid:2140 Gname:摩托手套（★） | 清凉薄荷 (久经沙场) CnyPrice:1906.00}
&{Gid:847 Gname:P250（纪念品） | 硝烟 (久经沙场) CnyPrice:11.50}
&{Gid:61898 Gname:SSG 08 | 致命一击 (崭新出厂) CnyPrice:1369.50}
&{Gid:61937 Gname:暗影双匕（★） | 传说 (破损不堪) CnyPrice:666.00}
&{Gid:3230 Gname:XM1014 | 西装革履 (崭新出厂) CnyPrice:11.50}
&{Gid:44254 Gname:海豹短刀（★） | 狩猎网格 (破损不堪) CnyPrice:687.00}
&{Gid:43379 Gname:AWP | 亡灵之主 (略有磨损) CnyPrice:17.31}
&{Gid:62193 Gname:印花 | 第六级 - 火焰（全息） CnyPrice:66.00}
&{Gid:44367 Gname:M4A1 消音型 | 梦魇 (战痕累累) CnyPrice:36.66}
&{Gid:44485 Gname:P90 | 浅坟 (略有磨损) CnyPrice:19.88}
&{Gid:102420 Gname:USP 消音版（StatTrak™） | 印花集 (久经沙场) CnyPrice:736.00}
&{Gid:101576 Gname:MP9（StatTrak™） | 星使 (久经沙场) CnyPrice:80.00}
&{Gid:54677 Gname:短剑（★） | 北方森林 (战痕累累) CnyPrice:900.00}
&{Gid:1675 Gname:P90 | 星辰巨蟒 (崭新出厂) CnyPrice:1200.00}
&{Gid:101815 Gname:印花 | HooXi（全息） | 2022年安特卫普锦标赛 CnyPrice:44.00}
&{Gid:49691 Gname:熊刀（★） | 表面淬火 (战痕累累) CnyPrice:870.00}
&{Gid:10314 Gname:M4A1 消音型 | 印花集 (破损不堪) CnyPrice:619.00}
&{Gid:61527 Gname:USP 消音版（StatTrak™） | 黑莲花 (略有磨损) CnyPrice:25.00}
&{Gid:47095 Gname:截短霰弹枪（StatTrak™） | 荒野公主 (久经沙场) CnyPrice:22.00}
&{Gid:62108 Gname:鲍伊猎刀（★） | 自由之手 (略有磨损) CnyPrice:769.90}
&{Gid:48021 Gname:格洛克 18 型（StatTrak™） | 蓝色裂纹 (略有磨损) CnyPrice:32.00}
&{Gid:43471 Gname:印花 | rain（闪亮）| 2018年伦敦锦标赛 CnyPrice:23.88}
&{Gid:102457 Gname:印花 | 砸瓦鲁刀（闪亮） CnyPrice:12.19}
&{Gid:50455 Gname:弯刀（★） | 狩猎网格 (略有磨损) CnyPrice:560.00}
&{Gid:44950 Gname:沙漠之鹰 | 黄金锦鲤 (崭新出厂) CnyPrice:200.00}
&{Gid:47748 Gname:沙漠之鹰 | 午夜凶匪 (略有磨损) CnyPrice:36.00}
&{Gid:52191 Gname:弯刀（★） | 致命紫罗兰 (略有磨损) CnyPrice:798.88}
&{Gid:44418 Gname:格洛克 18 型 | 黑色魅影 (破损不堪) CnyPrice:40.00}
&{Gid:52773 Gname:M9 刺刀（★） | 致命紫罗兰 (破损不堪) CnyPrice:2399.50}
&{Gid:45980 Gname:AK-47（StatTrak™） | 皇后 (破损不堪) CnyPrice:300.00}
&{Gid:45730 Gname:刺刀（★） | 澄澈之水 (略有磨损) CnyPrice:1429.00}
&{Gid:61689 Gname:M4A4 | 合纵 (崭新出厂) CnyPrice:1529.99}
&{Gid:51815 Gname:M4A1 消音型（StatTrak™） | 梦魇 (崭新出厂) CnyPrice:460.00}
&{Gid:44698 Gname:专业手套（★） | 森林 DDPAT (略有磨损) CnyPrice:1188.00}
&{Gid:52715 Gname:刺刀（★） | 狩猎网格 (略有磨损) CnyPrice:1300.00}
&{Gid:48648 Gname:熊刀（★） | 表面淬火 (略有磨损) CnyPrice:1250.00}
&{Gid:51834 Gname:锯齿爪刀（★） | 北方森林 (战痕累累) CnyPrice:1428.00}
&{Gid:887 Gname:AK-47（StatTrak™） | 迷踪秘境 (略有磨损) CnyPrice:15.80}
&{Gid:49812 Gname:法玛斯 | 冥界之憎 (略有磨损) CnyPrice:27.50}
&{Gid:45652 Gname:MAC-10（纪念品） | 核子花园 (崭新出厂) CnyPrice:200.00}
&{Gid:47319 Gname:截短霰弹枪 | 灌木丛 (崭新出厂) CnyPrice:14.00}
&{Gid:43892 Gname:锯齿爪刀（★） | 森林 DDPAT (久经沙场) CnyPrice:1460.50}
&{Gid:51077 Gname:折叠刀（★） | 北方森林 (战痕累累) CnyPrice:767.50}
&{Gid:44365 Gname:骷髅匕首（★） | 森林 DDPAT (战痕累累) CnyPrice:1529.00}
&{Gid:46395 Gname:沙漠之鹰（StatTrak™） | 印花集 (崭新出厂) CnyPrice:1289.00}
&{Gid:44009 Gname:AWP（StatTrak™） | 树蝰 (久经沙场) CnyPrice:45.50}
&{Gid:55317 Gname:流浪者匕首（★） | 枯焦之色 (战痕累累) CnyPrice:830.00}
&{Gid:49537 Gname:M4A4（纪念品） | 都市 DDPAT (略有磨损) CnyPrice:74.66}
&{Gid:55560 Gname:折叠刀（★） | 传说 (破损不堪) CnyPrice:1688.00}
&{Gid:53181 Gname:系绳匕首（★） | 北方森林 (略有磨损) CnyPrice:724.88}
&{Gid:749 Gname:MP9 | 九头蛇 (略有磨损) CnyPrice:40.00}
&{Gid:51517 Gname:沙漠之鹰（StatTrak™） | 印花集 (略有磨损) CnyPrice:708.88}
&{Gid:100591 Gname:AUG（纪念品） | 夜空沙暴 (破损不堪) CnyPrice:25.00}
&{Gid:61748 Gname:AK-47 | 绿色层压板 (久经沙场) CnyPrice:49.00}
&{Gid:52549 Gname:刺刀（★） | 森林 DDPAT (略有磨损) CnyPrice:1340.00}
&{Gid:51456 Gname:裹手（★） | 云杉 DDPAT (略有磨损) CnyPrice:970.00}
&{Gid:101015 Gname:准尉 | 法国宪兵特勤队 CnyPrice:11.19}
&{Gid:2584 Gname:AUG | 湖怪鸟 (崭新出厂) CnyPrice:40.88}
&{Gid:50225 Gname:USP 消音版 | 蓝图 (破损不堪) CnyPrice:45.00}
&{Gid:1973 Gname:格洛克 18 型 | 摩登时代 (崭新出厂) CnyPrice:54.50}
&{Gid:23145 Gname:沙漠之鹰 | 红色代号 (破损不堪) CnyPrice:109.00}
&{Gid:100527 Gname:加利尔 AR（纪念品） | 渐变琥珀 (崭新出厂) CnyPrice:21.50}
&{Gid:44436 Gname:M9 刺刀（★） | 狩猎网格 (久经沙场) CnyPrice:2100.00}
&{Gid:43342 Gname:M249（StatTrak™） | 翠绿箭毒蛙 (久经沙场) CnyPrice:13.50}
&{Gid:44621 Gname:M4A4 | 战场之星 (崭新出厂) CnyPrice:59.00}
&{Gid:53146 Gname:系绳匕首（★） | 表面淬火 (久经沙场) CnyPrice:1250.00}
&{Gid:47150 Gname:弯刀（★） | 致命紫罗兰 (战痕累累) CnyPrice:580.00}
&{Gid:102155 Gname:印花 | YEKINDAR（金色）| 2022年安特卫普锦标赛 CnyPrice:110.00}
&{Gid:50222 Gname:M9 刺刀（★） | 森林 DDPAT (略有磨损) CnyPrice:2408.88}
&{Gid:52311 Gname:暗影双匕（★） | 枯焦之色 (久经沙场) CnyPrice:466.00}
&{Gid:44984 Gname:爪子刀（★） | 蓝钢 (破损不堪) CnyPrice:3539.00}
&{Gid:49665 Gname:AWP（StatTrak™） | 暴怒野兽 (略有磨损) CnyPrice:640.00}
&{Gid:53047 Gname:弯刀（★） | 蓝钢 (略有磨损) CnyPrice:680.00}
&{Gid:2417 Gname:SSG 08（StatTrak™） | 无尽深海 (略有磨损) CnyPrice:12.00}
&{Gid:49441 Gname:骷髅匕首（★） | 蓝钢 (略有磨损) CnyPrice:3279.00}
&{Gid:51518 Gname:M4A1 消音型（纪念品） | 多变迷彩 (略有磨损) CnyPrice:210.00}
&{Gid:47396 Gname:印花 | kennyS（闪亮）| 2019年柏林锦标赛 CnyPrice:29.00}
